sequence,native_EAO_contribution_pp,M67_EAO_contribution_pp,M82_EAO_contribution_pp,M67_EAO_delta_pp,M82_EAO_delta_pp,native_ACC_contribution_pp,M67_ACC_contribution_pp,M82_ACC_contribution_pp,M67_ACC_delta_pp,M82_ACC_delta_pp,native_ROB_contribution_pp,M67_ROB_contribution_pp,M82_ROB_contribution_pp,M67_ROB_delta_pp,M82_ROB_delta_pp
bandlight_indoor_1,1.370754094699104,1.2406179372892752,1.2636205103200493,-0.13013615740982876,-0.10713358437905462,1.2395425140457295,1.108566854800048,1.1503619554498201,-0.13097565924568144,-0.08918055859590934,1.2508526298571079,1.1295700211622055,1.1511789610741385,-0.12128260869490237,-0.09967366878296935
bicycle2_outside_1,1.066072772368979,1.0444172819922741,1.0364232128352455,-0.021655490376704778,-0.029649559533733383,0.9320593682560704,0.9352962032786516,0.9516161567521008,0.003236835022581208,0.019556788496030375,1.1258220730483892,1.1258220730483892,1.1258220730483892,0.0,0.0
bottle_box_5,0.0004716821449622807,0.00045849933053540733,0.00045774987897153816,-1.3182814426873364e-05,-1.3932265990742535e-05,0.027990059054024168,0.027743967032439865,0.028226145839636552,-0.00024609202158430363,0.0002360867856123841,0.1461463197136523,0.1461463197136523,0.1461463197136523,0.0,0.0
box1_outside_1,3.315133419914381,3.173078449836577,3.027500271675318,-0.14205497007780377,-0.28763314823906283,5.946772185213138,5.993850013293063,5.708185035003487,0.047077828079924444,-0.2385871502096517,2.8423641963896498,2.889259961786756,2.7590781074224573,0.04689576539710627,-0.08328608896719247
box_darkroom_noocc_10_1,0.9150310650161663,0.903883265005665,0.8738227119388984,-0.011147800010501308,-0.04120835307726789,0.771306112217235,0.7804101408290748,0.7970630298933615,0.009104028611839787,0.025756917676126534,1.0693337486146837,1.0692431347897016,1.075042419588561,-9.06138249820998e-05,0.005708670973877394
box_darkroom_noocc_1_1,1.3306903038789477,1.3215352344828073,1.3080183729469803,-0.009155069396140414,-0.0226719309319674,1.2360080310897275,1.2578887460459487,1.2796441052321912,0.021880714956221237,0.04363607414246373,1.3549497776842,1.3549497776842,1.3549497776842,0.0,0.0
box_darkroom_noocc_2_1,0.8381850893920578,0.8347747222537825,0.8260914294663885,-0.003410367138275361,-0.012093659925669353,0.7286118194291579,0.7417036133308483,0.7551938060792218,0.013091793901690463,0.02658198665006395,1.0106389566639007,1.0106389566639007,1.0106389566639007,0.0,0.0
box_darkroom_noocc_3_1,2.305199660093618,2.2795106758378383,2.250551345453141,-0.0256889842557797,-0.054648314640477036,3.231498092206491,3.280313280505681,3.3356331094789065,0.04881518829918985,0.10413501727241536,2.2392588647651133,2.2392588647651133,2.2392588647651133,0.0,0.0
box_darkroom_noocc_4_1,1.6101291975203387,1.5973232377569615,1.5757774119819954,-0.012805959763377173,-0.03435178553834328,1.5981250272022767,1.627771369373975,1.6512966936836357,0.02964634217169837,0.05317166648135907,1.5110043224631848,1.5110043224631848,1.5110043224631848,0.0,0.0
box_darkroom_noocc_5_1,2.989596652786789,2.956657928505092,2.9062762705060785,-0.03293872428169742,-0.0833203822807107,5.029932464873885,5.11349703422322,5.1767413056806975,0.08356456934933565,0.14680884080681267,2.6826519364387362,2.6826519364387362,2.6826519364387362,0.0,0.0
