arm,sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,invalid_gt_frames
M84_protocol_control,flowerbasket_indoor,851,651.7161133094138,0.7658238699288059,120,2,149
M84_protocol_control,ghostmask_indoor,1025,837.4450806559348,0.8170195908838388,72,1,139
M84_protocol_control,glass03_indoor,570,504.2380373288228,0.8846281356646014,35,1,104
M84_protocol_control,mobilephone01_indoor,1217,644.6821619657994,0.5297306178847982,483,8,200
M84_protocol_control,mobilephone02_indoor,610,341.7741460127736,0.560285485266842,208,1,90
M84_protocol_control,notebook02_indoor,2494,2121.228991761607,0.8505328756060975,77,2,151
M82_historical,bag05_indoor,587,496.6737435947051,0.8461222207746254,12,0,301
M82_historical,ball07_indoor,2179,1770.340622883125,0.812455540561324,247,6,339
M82_historical,ball19_indoor,1380,1164.4003494755962,0.8437683691852146,17,1,0
M82_historical,beautifullight01_indoor,910,566.5015281126646,0.6225291517721588,263,4,359
M82_historical,book06_indoor,1545,1248.859366788312,0.8083232147497165,96,3,445
M82_historical,car01_indoor,1402,990.986731959857,0.7068378972609537,344,3,139
M82_historical,car02_indoor,565,511.8432161402849,0.9059171967084688,14,1,187
M82_historical,colacan01_indoor,2801,745.4499484259678,0.26613707548231624,1924,10,254
M82_historical,colacan04_indoor,567,142.27036664599513,0.250917754225741,409,12,433
M82_historical,container01_indoor,621,575.5211025971112,0.9267650605428521,3,0,139
M82_historical,cup08_indoor,1321,1173.5809286360914,0.8884034281878057,1,0,129
M82_historical,cup10_indoor,2147,1849.872537388228,0.8616080751691794,48,2,48
M82_historical,cup13_indoor,1658,1325.7665802059691,0.7996179615235037,61,2,103
M82_historical,egg_indoor,3433,2518.166257736374,0.7335176981463367,553,8,118
M82_historical,flower02_wild,467,293.70008370076596,0.6289081021429678,115,2,188
M82_historical,flower03_indoor,547,460.33707614364255,0.8415668668073903,1,0,196
M82_historical,flowerbasket_indoor,851,661.5054131534332,0.7773271599922834,108,2,149
M82_historical,ghostmask_indoor,1025,724.3324873038996,0.7066658412720972,221,3,139
M82_historical,glass03_indoor,570,505.8136736482883,0.8873924099092777,35,1,104
M82_historical,mobilephone01_indoor,1217,684.5571050238175,0.5624955669875247,435,6,200
M82_historical,mobilephone02_indoor,610,514.4286276972647,0.8433256191758437,4,0,90
M82_historical,notebook02_indoor,2494,2156.057573028341,0.8644978239889097,41,1,151
