sequence,frames,control_p,control_r,control_all_box_r,old_m82_p,old_m82_r,old_m82_all_box_r,delta_r,delta_all_box_r,sustained_new_only_runs,sustained_new_only_frames,longest_new_only_run
person_outside,1728,71.35780136718236,48.04235857614695,48.465922744531696,73.62418866176465,50.86271788135096,50.86271788135096,-2.8203593052040077,-2.3967951368192644,1,36,36
robot_corridor_noocc_1,799,84.94459467286016,88.70796279127802,88.70796279127802,87.1994647556103,87.47541242888754,87.47541242888754,1.2325503623904837,1.2325503623904837,0,0,0
robot_corridor_occ_1,1819,40.082504642253916,21.661945309620457,21.70514762598602,39.13081282235401,21.327707974839893,21.327707974839893,0.33423733478056405,0.3774396511461262,0,0,0
robot_human_corridor_noocc_1_A,902,68.28485813120898,67.90633896196725,68.28609182415552,63.581302471635745,54.699657115287515,63.52793271726384,13.206681846679736,4.758159106891682,0,0,0
robot_human_corridor_noocc_1_B,902,61.90308863983841,61.90308863983841,61.90308863983841,57.572120969884125,57.572120969884125,57.572120969884125,4.330967669954283,4.330967669954283,0,0,0
robot_human_corridor_noocc_2,1065,65.68130316706885,70.95202502615462,70.95202502615462,66.9797870209674,72.07907121803693,72.07907121803692,-1.1270461918823145,-1.1270461918823003,0,0,0
robot_human_corridor_noocc_3_A,1679,67.27311911492218,67.14069171508966,69.21672968952743,57.35855544767404,57.923108158773196,59.16289908698904,9.217583556316463,10.053830602538383,0,0,0
robot_human_corridor_noocc_3_B,1134,48.89809433974322,12.807777387917163,13.144914279656303,59.89635378046923,59.72138877429454,60.82723247080707,-46.913611386377376,-47.68231819115076,3,731,427
robot_lab_occ,1643,89.45803369886359,86.16711890920583,87.15179857909094,86.45766788028075,86.8817398257389,86.8817398257389,-0.7146209165330788,0.270058753352032,1,73,73
teapot,950,85.60332119144478,68.92216058587736,69.7788602839084,84.79960265479383,84.79960265479383,85.2905190284368,-15.877442068916466,-15.511658744528404,1,160,160
tennis_ball,707,60.135641762240745,41.424371933342094,44.04966171643551,85.80000517936567,31.78921055206714,41.31293837354133,9.635161381274955,2.73672334289418,1,17,17
thermos_office_noocc_1,971,82.4351065185379,82.4351065185379,82.4351065185379,83.17654344154461,83.00522203383802,83.18511811340026,-0.5701155153001167,-0.7500115948623574,0,0,0
thermos_office_occ_1,1411,81.72827283555753,15.238528801150379,17.031449145390205,78.01230761587793,35.503318077850075,41.19018101642528,-20.264789276699695,-24.158731871035073,7,354,197
toy_office_noocc_1,986,69.06036848890348,65.41823952194305,68.74846527795656,69.27062138138292,60.20783217428516,65.02393503377498,5.210407347657892,3.7245302441815795,0,0,0
toy_office_occ_1,852,80.194565311801,18.19339392148321,19.441439609110482,78.81063982875648,42.81652671293636,45.30436838774906,-24.62313279145315,-25.862928778638576,4,223,78
trashcan_room_occ_1,1305,27.933348826882952,23.624936495055245,25.083789422069064,72.80910789730731,63.43837490950269,64.13143427671429,-39.81343841444745,-39.04764485464523,8,378,121
trashcans_room_occ_1_A,847,58.92621835776978,46.34256348019007,48.80389732936327,38.996041618243886,42.3270731555902,46.88843309473359,4.015490324599874,1.915464234629674,1,74,74
trashcans_room_occ_1_B,944,29.416830116981433,20.239632813255668,21.136055472189128,32.11748482867422,30.17567800710988,32.061149369610895,-9.936045193854213,-10.925093897421768,3,93,42
trendNetBag_outside,2105,84.68767725415772,78.02390091507593,78.43473252882998,80.82706515289048,81.92879714382208,83.93585167608356,-3.9048962287461535,-5.501119147253576,1,125,125
trendNet_outside,1818,78.72832514536266,81.44632684680971,82.03344321899668,80.75349233142003,77.77330392395096,82.1622618445506,3.673022922858749,-0.12881862555391876,0,0,0
trophy_outside,2001,75.33601494583687,64.30550808460842,64.81762700827385,74.82188315976124,69.8881452774717,71.9024278355594,-5.582637192863274,-7.084800827285548,2,190,102
trophy_room_noocc_1,1409,77.62078397519404,75.52292494883744,77.11498297905842,80.28457036861259,77.48660170000518,79.03887046478566,-1.963676751167739,-1.923887485727235,0,0,0
trophy_room_occ_1,1745,69.86945784237987,75.56184468367758,77.10255123301543,78.84827283478651,78.33021585164074,80.33687173804115,-2.768371167963167,-3.234320505025721,0,0,0
two_mugs,1134,65.09541030474139,69.32821530977876,71.6116167271453,70.66530059415696,61.54495145343325,67.88945058143801,7.783263856345506,3.722166145707291,3,63,42
two_tennis_balls,722,75.45981092449595,46.888768009572296,55.71606121826592,80.99342746166953,50.69817596837329,63.38694055492026,-3.809407958800996,-7.6708793366543375,4,63,22
