arm,sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,invalid_gt_frames
category_swapped,car02_indoor,565,303.281920971228,0.5367821610110229,236,2,187
category_swapped,colacan01_indoor,2801,745.9242037851152,0.266306391926139,1923,10,254
category_swapped,colacan04_indoor,567,360.16346328746454,0.6352089299602549,165,4,433
category_swapped,container01_indoor,621,544.0255992413768,0.8760476638347452,38,1,139
category_swapped,cup08_indoor,1321,1174.3332863106198,0.8889729646560331,1,0,129
category_swapped,cup10_indoor,2147,1921.966546527626,0.8951870267944229,9,0,48
category_swapped,cup13_indoor,1658,1322.5138767905519,0.797656137991889,66,3,103
category_swapped,egg_indoor,3433,2382.4289690603355,0.6939787267871644,690,9,118
category_swapped,flower02_wild,467,100.18764944038551,0.21453458124279554,349,6,188
category_swapped,flower03_indoor,547,461.3062266270426,0.8433386227185422,0,0,196
category_swapped,flowerbasket_indoor,851,658.1598705026065,0.7733958525295024,113,2,149
category_swapped,ghostmask_indoor,1025,639.406034954627,0.6238107658093922,312,4,139
category_swapped,glass03_indoor,570,506.27727232526365,0.8882057409215152,34,1,104
category_swapped,mobilephone01_indoor,1217,645.5268656454775,0.5304247047210169,483,8,200
category_swapped,mobilephone02_indoor,610,513.8461592853484,0.8423707529268007,4,0,90
category_swapped,notebook02_indoor,2494,2143.505290381394,0.8594648317487545,54,1,151
