family,index,threshold,precision,recall,f_score,best
M82_category,93,0.133298,0.6915184205815034,0.7442733855692766,0.7169267213601376,False
M82_category,94,0.105615,0.6827030334558436,0.7445652489900451,0.712293491480402,False
M82_category,95,0.08273,0.6735508371939214,0.7450934657774588,0.7075181941110609,False
M82_category,96,0.066787,0.6629693202501147,0.7453995055664676,0.7017721415888984,False
M82_category,97,0.054605,0.6521055576174679,0.7455172340578895,0.6956897591030093,False
M82_category,98,0.045103,0.6418750688732007,0.7457212568368128,0.6899122954183602,False
M82_category,99,-inf,0.6327467264468001,0.7459421328993443,0.6846975508812781,False
M82_empty,0,inf,1.0,0.0,0.0,False
M82_empty,1,0.953359,0.9661086529197647,0.020401035903652474,0.03995828431964528,False
M82_empty,2,0.948977,0.958051770981601,0.03466640260722069,0.0669116558858633,False
M82_empty,3,0.94603,0.9540789299862941,0.046002577439886644,0.08777302556751528,False
M82_empty,4,0.943813,0.9555222542883459,0.05551101711457351,0.1049263435961007,False
M82_empty,5,0.941789,0.9547395713874226,0.06631427320908284,0.12401473461084285,False
M82_empty,6,0.939373,0.9524703458091559,0.07623965369727352,0.14117877605205206,False
M82_empty,7,0.936926,0.9090677438232005,0.08700231099687993,0.1588060883521375,False
M82_empty,8,0.934664,0.8987020509938026,0.09616922430264462,0.17374605392545178,False
M82_empty,9,0.932812,0.896471570916242,0.10270207631554153,0.18429127298549627,False
M82_empty,10,0.930923,0.8923687657153654,0.10891579179217249,0.1941367215937733,False
M82_empty,11,0.928925,0.8919483035834723,0.11611665021576088,0.20548288835437567,False
M82_empty,12,0.926854,0.885293930440109,0.12361279983125882,0.21693514005182019,False
M82_empty,13,0.92464,0.8827877911819002,0.13141782582959863,0.22877816931815256,False
M82_empty,14,0.921938,0.8798465757160518,0.13942992355951309,0.24071376291590985,False
M82_empty,15,0.91893,0.8799063702080229,0.14901475746927972,0.2548670268793338,False
M82_empty,16,0.916074,0.8796664346973864,0.15863308591293632,0.2687937311731617,False
M82_empty,17,0.913068,0.8799328154416485,0.16930506895149453,0.28397199187521943,False
M82_empty,18,0.910092,0.8796143442498393,0.17948409820301914,0.29813430180953115,False
M82_empty,19,0.906862,0.8789740576064079,0.18934008486190426,0.31156570159052444,False
M82_empty,20,0.903459,0.8791700890135825,0.19976597517064512,0.32555825317684955,False
M82_empty,21,0.899626,0.8766430963414272,0.21050992556106865,0.33949604009105117,False
M82_empty,22,0.895817,0.8767260730333267,0.22173993194576516,0.35395757153756996,False
M82_empty,23,0.891799,0.8755501408613174,0.23243295893268937,0.3673462347434079,False
M82_empty,24,0.888043,0.8735917104820683,0.24317329900081697,0.380445620007486,False
M82_empty,25,0.884029,0.8608537018904663,0.2537360749380192,0.39194624597236516,False
M82_empty,26,0.879501,0.850631766558993,0.26342872365733555,0.4022776905471409,False
M82_empty,27,0.874597,0.8490534386356757,0.27345810390859754,0.41368045609603016,False
M82_empty,28,0.869468,0.8428046412395124,0.2832139178612829,0.42396104843552346,False
M82_empty,29,0.864683,0.8340178819759901,0.29233475940794085,0.43292377167030593,False
M82_empty,30,0.859479,0.8257835413020156,0.30178984053762486,0.4420343496252781,False
M82_empty,31,0.854308,0.8217519654069111,0.30961959664141664,0.4497735679478055,False
M82_empty,32,0.848417,0.8198882491030873,0.31885010259365965,0.4591422638085936,False
