condition,episode,valid_frames,mean_iou,low_iou_frames,H10_episodes,invalid_gt_frames
multi_category,mobilephone02_indoor:512,188,0.8486969983505341,0,0,0
multi_category,notebook02_indoor:0,512,0.8998781250667482,0,0,0
multi_category,notebook02_indoor:512,461,0.8728607796142888,4,0,51
multi_category,notebook02_indoor:1024,471,0.8707155362594002,0,0,41
multi_category,notebook02_indoor:1536,463,0.8276487829130491,9,0,49
multi_category,notebook02_indoor:2048,502,0.86741182369633,17,1,10
multi_category,notebook02_indoor:2560,85,0.9530349203825947,0,0,0
multi_empty_trained,bag05_indoor:0,355,0.8228169024421453,13,0,157
multi_empty_trained,bag05_indoor:512,232,0.7126569892539842,42,2,144
multi_empty_trained,ball07_indoor:0,514,0.8944757264661547,14,1,30
multi_empty_trained,ball07_indoor:544,423,0.8202061561280105,34,2,185
multi_empty_trained,ball07_indoor:1152,476,0.6753550902544486,129,3,36
multi_empty_trained,ball07_indoor:1664,512,0.9428936100856041,0,0,0
multi_empty_trained,ball07_indoor:2176,254,0.36657376687434984,153,2,88
multi_empty_trained,ball19_indoor:0,512,0.8445809244157266,7,0,0
multi_empty_trained,ball19_indoor:512,512,0.833676095285848,16,1,0
multi_empty_trained,ball19_indoor:1024,356,0.8668541695920712,0,0,0
multi_empty_trained,beautifullight01_indoor:0,421,0.834672389704935,22,1,91
multi_empty_trained,beautifullight01_indoor:512,290,0.09034822650777483,259,6,222
multi_empty_trained,beautifullight01_indoor:1024,199,0.6060188203105935,56,2,46
multi_empty_trained,book06_indoor:0,512,0.8527362951822572,4,0,0
multi_empty_trained,book06_indoor:512,289,0.8533884284205182,3,0,223
multi_empty_trained,book06_indoor:1024,450,0.7402989714786672,59,2,222
multi_empty_trained,book06_indoor:1696,294,0.8549162183568109,5,0,0
multi_empty_trained,car01_indoor:0,439,0.5741434149764839,162,2,73
multi_empty_trained,car01_indoor:512,446,0.6916040532477301,117,1,66
multi_empty_trained,car01_indoor:1024,512,0.9432125804645124,0,0,0
multi_empty_trained,car01_indoor:1536,5,0.9541514608477282,0,0,0
multi_empty_trained,car02_indoor:0,497,0.9394665570537644,0,0,15
multi_empty_trained,car02_indoor:512,68,0.7243325266683717,14,1,172
multi_empty_trained,colacan01_indoor:0,498,0.5640422357756206,168,2,14
multi_empty_trained,colacan01_indoor:512,481,0.8233670419395198,0,0,31
multi_empty_trained,colacan01_indoor:1024,509,0.8242782824207977,0,0,3
multi_empty_trained,colacan01_indoor:1536,508,0.816018529312827,13,1,4
multi_empty_trained,colacan01_indoor:2048,310,0.025743362049110846,298,5,202
multi_empty_trained,colacan01_indoor:2560,495,0.852984511289597,0,0,0
multi_empty_trained,colacan04_indoor:0,336,0.49470001398808444,151,4,176
multi_empty_trained,colacan04_indoor:512,231,0.868542119811227,5,0,257
multi_empty_trained,container01_indoor:0,447,0.9323843561532335,1,0,97
multi_empty_trained,container01_indoor:544,174,0.893925178652062,3,0,42
multi_empty_trained,cup08_indoor:0,436,0.8999273575102827,0,0,76
multi_empty_trained,cup08_indoor:512,459,0.8784839412911223,1,0,53
multi_empty_trained,cup08_indoor:1024,426,0.8851321062482763,0,0,0
multi_empty_trained,cup10_indoor:0,509,0.9016993404105831,0,0,3
multi_empty_trained,cup10_indoor:512,512,0.9341774706337653,1,0,0
multi_empty_trained,cup10_indoor:1024,507,0.8716541569540706,0,0,5
multi_empty_trained,cup10_indoor:1536,472,0.8791547101437472,11,1,40
multi_empty_trained,cup10_indoor:2048,147,0.8442392542409928,7,0,0
multi_empty_trained,cup13_indoor:0,508,0.8480322022875006,2,0,4
multi_empty_trained,cup13_indoor:512,466,0.7610371273809823,30,1,78
multi_empty_trained,cup13_indoor:1056,507,0.8206526392640607,5,0,5
multi_empty_trained,cup13_indoor:1568,177,0.772882778826772,8,0,16
multi_empty_trained,egg_indoor:0,442,0.11926919532008358,380,4,70
multi_empty_trained,egg_indoor:512,512,0.7867681057841716,40,1,0
multi_empty_trained,egg_indoor:1024,479,0.8367199082987994,23,1,33
multi_empty_trained,egg_indoor:1536,512,0.8706512532777223,30,1,0
multi_empty_trained,egg_indoor:2048,512,0.8573029563755358,1,0,0
multi_empty_trained,egg_indoor:2560,497,0.39999271174459045,271,1,15
multi_empty_trained,egg_indoor:3072,479,0.8674377753706773,0,0,0
multi_empty_trained,flower02_wild:0,358,0.6286641010438345,88,1,154
multi_empty_trained,flower02_wild:512,109,0.7194902016429381,14,1,34
multi_empty_trained,flower03_indoor:0,367,0.842984721342289,0,0,145
multi_empty_trained,flower03_indoor:512,180,0.8527263399510399,0,0,51
multi_empty_trained,flowerbasket_indoor:0,427,0.8604068340312853,16,1,85
multi_empty_trained,flowerbasket_indoor:512,424,0.745055828612548,65,1,64
multi_empty_trained,ghostmask_indoor:0,464,0.895864245406024,3,0,48
multi_empty_trained,ghostmask_indoor:512,424,0.8235559945293,8,0,88
multi_empty_trained,ghostmask_indoor:1024,137,0.857352485067485,6,0,3
multi_empty_trained,glass03_indoor:0,429,0.7715221713296373,79,1,83
multi_empty_trained,glass03_indoor:512,141,0.9139049481691606,4,0,21
multi_empty_trained,mobilephone01_indoor:0,509,0.8995338550431657,0,0,3
multi_empty_trained,mobilephone01_indoor:512,400,0.5664915357131026,141,4,144
multi_empty_trained,mobilephone01_indoor:1056,308,0.883122966016285,3,0,53
multi_empty_trained,mobilephone02_indoor:0,422,0.8211222422580137,15,1,90
multi_empty_trained,mobilephone02_indoor:512,188,0.8506360557914887,0,0,0
multi_empty_trained,notebook02_indoor:0,512,0.9011224620062586,0,0,0
multi_empty_trained,notebook02_indoor:512,461,0.8723901040719487,5,0,51
multi_empty_trained,notebook02_indoor:1024,471,0.8708179966538702,0,0,41
multi_empty_trained,notebook02_indoor:1536,463,0.8193863770525195,14,0,49
multi_empty_trained,notebook02_indoor:2048,502,0.8897295242248185,4,0,10
multi_empty_trained,notebook02_indoor:2560,85,0.9575247623234854,0,0,0
multi_native,bag05_indoor:0,355,0.8457110147973407,4,0,157
multi_native,bag05_indoor:512,232,0.7925721022827088,22,1,144
multi_native,ball07_indoor:0,514,0.895225992270183,4,0,30
multi_native,ball07_indoor:544,423,0.8123792682032763,35,2,185
multi_native,ball07_indoor:1152,476,0.7876708505106623,66,2,36
multi_native,ball07_indoor:1664,512,0.938480402699417,0,0,0
multi_native,ball07_indoor:2176,254,0.8330652744662115,16,0,88
multi_native,ball19_indoor:0,512,0.8292387245982161,6,0,0
multi_native,ball19_indoor:512,512,0.831523176314636,13,1,0
multi_native,ball19_indoor:1024,356,0.8704000274462281,0,0,0
multi_native,beautifullight01_indoor:0,421,0.8604466965400016,9,0,91
multi_native,beautifullight01_indoor:512,290,0.6859083933197192,60,2,222
multi_native,beautifullight01_indoor:1024,199,0.8013515650357056,9,0,46
multi_native,book06_indoor:0,512,0.8647126479594036,4,0,0
multi_native,book06_indoor:512,289,0.8517697635700492,4,0,223
multi_native,book06_indoor:1024,450,0.7461598964901565,72,3,222
multi_native,book06_indoor:1696,294,0.8568682806792555,6,0,0
multi_native,car01_indoor:0,439,0.37384682957325993,258,2,73
multi_native,car01_indoor:512,446,0.6912365345596932,117,1,66
multi_native,car01_indoor:1024,512,0.9418754414045398,0,0,0
multi_native,car01_indoor:1536,5,0.9442148183937811,0,0,0
multi_native,car02_indoor:0,497,0.6892016769145924,129,1,15
multi_native,car02_indoor:512,68,0.7177289452012945,14,1,172
multi_native,colacan01_indoor:0,498,0.5689476636087951,161,2,14
multi_native,colacan01_indoor:512,481,0.8284043959632615,2,0,31
multi_native,colacan01_indoor:1024,509,0.8202927937472861,0,0,3
multi_native,colacan01_indoor:1536,508,0.8151699816050604,13,1,4
multi_native,colacan01_indoor:2048,310,0.06937614285082043,282,4,202
multi_native,colacan01_indoor:2560,495,0.8516261293511306,0,0,0
multi_native,colacan04_indoor:0,336,0.4666907900246219,161,4,176
multi_native,colacan04_indoor:512,231,0.6672525418145767,56,3,257
multi_native,container01_indoor:0,447,0.934593317269134,1,0,97
multi_native,container01_indoor:544,174,0.8925848370849522,4,0,42
multi_native,cup08_indoor:0,436,0.8996296906938621,0,0,76
multi_native,cup08_indoor:512,459,0.686023545334755,103,1,53
multi_native,cup08_indoor:1024,426,0.904914312272287,0,0,0
multi_native,cup10_indoor:0,509,0.9036550437200548,0,0,3
multi_native,cup10_indoor:512,512,0.9327322625042523,0,0,0
multi_native,cup10_indoor:1024,507,0.8702610251897195,0,0,5
multi_native,cup10_indoor:1536,472,0.7815662230090116,60,1,40
multi_native,cup10_indoor:2048,147,0.8945977576233872,0,0,0
multi_native,cup13_indoor:0,508,0.8398433243403239,1,0,4
multi_native,cup13_indoor:512,466,0.6467252661513953,96,2,78
multi_native,cup13_indoor:1056,507,0.8033929694275033,13,0,5
multi_native,cup13_indoor:1568,177,0.7297941912942267,15,1,16
multi_native,egg_indoor:0,442,0.08815298970169004,395,4,70
multi_native,egg_indoor:512,512,0.7922010613913766,31,1,0
multi_native,egg_indoor:1024,479,0.8253611269871335,30,1,33
multi_native,egg_indoor:1536,512,0.8486783927299841,35,1,0
multi_native,egg_indoor:2048,512,0.8439146721901356,0,0,0
multi_native,egg_indoor:2560,497,0.7002395268937306,103,1,15
multi_native,egg_indoor:3072,479,0.8590846338019924,0,0,0
multi_native,flower02_wild:0,358,0.636523457176836,83,1,154
multi_native,flower02_wild:512,109,0.7277159343061864,13,1,34
multi_native,flower03_indoor:0,367,0.8381349812965286,0,0,145
multi_native,flower03_indoor:512,180,0.8449594232435241,0,0,51
multi_native,flowerbasket_indoor:0,427,0.860806281611471,18,1,85
multi_native,flowerbasket_indoor:512,424,0.8253810015654666,30,1,64
multi_native,ghostmask_indoor:0,464,0.8986238827152192,3,0,48
multi_native,ghostmask_indoor:512,424,0.8197596163361446,7,0,88
multi_native,ghostmask_indoor:1024,137,0.8574411223936609,6,0,3
multi_native,glass03_indoor:0,429,0.7358569309358441,93,2,83
multi_native,glass03_indoor:512,141,0.8235964542579196,18,1,21
multi_native,mobilephone01_indoor:0,509,0.8962950514321051,0,0,3
multi_native,mobilephone01_indoor:512,400,0.4493526826037768,193,5,144
multi_native,mobilephone01_indoor:1056,308,0.810203655451111,31,2,53
multi_native,mobilephone02_indoor:0,422,0.8526496822428813,1,0,90
multi_native,mobilephone02_indoor:512,188,0.8456952278171357,0,0,0
multi_native,notebook02_indoor:0,512,0.8992096609858621,0,0,0
multi_native,notebook02_indoor:512,461,0.8728125365940614,1,0,51
multi_native,notebook02_indoor:1024,471,0.8528063731615029,8,0,41
multi_native,notebook02_indoor:1536,463,0.8234676965682861,10,0,49
multi_native,notebook02_indoor:2048,502,0.8820848405614053,7,0,10
multi_native,notebook02_indoor:2560,85,0.9709458345659353,0,0,0
multi_M78_category,bag05_indoor:0,355,0.843633665936466,4,0,157
multi_M78_category,bag05_indoor:512,232,0.7251871281768059,39,2,144
multi_M78_category,ball07_indoor:0,514,0.8909678469902996,17,1,30
multi_M78_category,ball07_indoor:544,423,0.8217460124606099,35,2,185
multi_M78_category,ball07_indoor:1152,476,0.6800419367760652,126,3,36
multi_M78_category,ball07_indoor:1664,512,0.9389285246527999,0,0,0
multi_M78_category,ball07_indoor:2176,254,0.3656011539976106,153,2,88
multi_M78_category,ball19_indoor:0,512,0.84079774876254,8,0,0
multi_M78_category,ball19_indoor:512,512,0.719096134936014,78,1,0
multi_M78_category,ball19_indoor:1024,356,0.8649406537386137,0,0,0
multi_M78_category,beautifullight01_indoor:0,421,0.8577929985674827,10,0,91
multi_M78_category,beautifullight01_indoor:512,290,0.09024359645121048,259,6,222
multi_M78_category,beautifullight01_indoor:1024,199,0.791644662226826,12,1,46
multi_M78_category,book06_indoor:0,512,0.8592946127608665,4,0,0
multi_M78_category,book06_indoor:512,289,0.8544938542431546,3,0,223
multi_M78_category,book06_indoor:1024,450,0.7538261258360874,56,2,222
multi_M78_category,book06_indoor:1696,294,0.85252411499239,6,0,0
multi_M78_category,car01_indoor:0,439,0.5811799149898301,160,2,73
multi_M78_category,car01_indoor:512,446,0.6891592806407117,117,1,66
multi_M78_category,car01_indoor:1024,512,0.9436110488242376,0,0,0
multi_M78_category,car01_indoor:1536,5,0.9601968590089826,0,0,0
multi_M78_category,car02_indoor:0,497,0.9370535734362921,0,0,15
multi_M78_category,car02_indoor:512,68,0.721312812357979,14,1,172
multi_M78_category,colacan01_indoor:0,498,0.8391464698041526,2,0,14
multi_M78_category,colacan01_indoor:512,481,0.8219523244793848,0,0,31
multi_M78_category,colacan01_indoor:1024,509,0.822707656091464,0,0,3
multi_M78_category,colacan01_indoor:1536,508,0.816113882120436,13,1,4
multi_M78_category,colacan01_indoor:2048,310,0.026318677096475625,298,5,202
multi_M78_category,colacan01_indoor:2560,495,0.8538288143006837,0,0,0
multi_M78_category,colacan04_indoor:0,336,0.7132676809895285,70,1,176
multi_M78_category,colacan04_indoor:512,231,0.8570195022994853,7,0,257
